サイズ 虎徹 MarkII SCKTT-2000,サイドフロー型 | 120x120x27 mm | 51.2 CFM | 2017-06-01発売,3828
Deepcool GAMMAXX L240 V2 DP-H12RF-GL240V2,水冷型 | 120x120x25 mm | 69.3 CFM,5980
Noctua NH-D15,サイドフロー型,10428
Deepcool AS500 R-AS500-BKNLMN-G,サイドフロー型 | 140x140x25 mm | 70.8 CFM | 2020-10-30発売,6008
Corsair iCUE H115i RGB PRO XT CW-9060044-WW,水冷型 | 140x140x25 mm | 97.0 CFM | 2020-02-15発売,15850
Noctua NH-U12A,サイドフロー型 | 120x120x25 mm,12078
サイズ 無限五 リビジョンB SCMG-5100,サイドフロー型 | 120x120x27 mm | 51.2 CFM | 2017-04-27発売,5255
サイズ 手裏剣 弐 SCSK-2000,トップフロー型 | 92x92x16 mm | 41.3 CFM | 2019-12-05発売,3608
ID-COOLING SE-224-XT,サイドフロー型 | 120x120x25 mm | 76.2 CFM | 2020-05-27発売,2758
サイズ 忍者 五 SCNJ-5000,サイドフロー型 | 120x120x27 mm | 43.0 CFM | 2018-07-05発売,5698
Corsair iCUE H150i RGB PRO XT CW-9060045-WW,水冷型 | 120x120x25 mm | 75.0 CFM | 2020-05-23発売,17890
Deepcool GAMER STORM ASSASSIN III DP-GS-MCH7-ASN-3,サイドフロー型 | 140x140x25 mm | 90.4 CFM | 2019-09-13発売,9442
ID-COOLING SE-914-XT,サイドフロー型 | 92x92x25 mm | 45.8 CFM | 2020-11-04発売,2354
Corsair iCUE H100i ELITE CAPELLIX WHITE CW-9060050-WW,水冷型 | 120x120x25 mm | 75.0 CFM | 2021-02-20発売,20920
Thermaltake TH120 ARGB Sync CL-W285-PL12SW-A,水冷型 | 120x120x25 mm | 59.3 CFM | 2020-09-25発売,7373
Noctua NH-L9a-AM4,トップフロー型,5478
Corsair iCUE H150i ELITE CAPELLIX WHITE CW-9060051-WW,水冷型 | 120x120x25 mm | 75.0 CFM | 2021-02-20発売,24612
NZXT KRAKEN X63 RL-KRX63-01,水冷型 | 140x140x26 mm | 2020-02-14発売,21340
Noctua NH-D15 chromax.black,サイドフロー型 | 140x150x25 mm | 2019-11-08発売,14278
Thermaltake TH240 ARGB Sync Snow Edition CL-W301-PL12SW-A,水冷型 | 120x120x25 mm | 59.3 CFM | 2020-11-27発売,10558
Corsair iCUE H100i RGB PRO XT CW-9060043-WW,水冷型 | 120x120x25 mm | 75.0 CFM | 2020-02-15発売,13336
NZXT KRAKEN X73 RL-KRX73-01,水冷型 | 120x120x26 mm | 2020-02-14発売,22099
クーラーマスター I50 RH-I50-20FK-R1,トップフロー型 | 92x92x25 mm | 34.0 CFM | 2018-07-27発売,712
サイズ 大手裏剣 参 SCBSK-3000,トップフロー型 | 120x120x17 mm | 50.8 CFM | 2019-01-24発売,4326
NZXT KRAKEN Z63 RL-KRZ63-01,水冷型 | 140x140x26 mm | 2020-02-14発売,36168
MSI MAG CORELIQUID 240R,水冷型 | 120x120x25 mm | 78.7 CFM | 2020-06-12発売,13266
NZXT KRAKEN Z73 RL-KRZ73-01,水冷型 | 120x120x26 mm | 2020-02-14発売,41152
クーラーマスター MasterLiquid ML240L V2 RGB MLW-D24M-A18PC-R2,水冷型 | 120x120x25 mm | 62.0 CFM | 2020-07-22発売,9210
サイズ 風魔 弐 SCFM-2000,サイドフロー型 | 51.2 CFM | 2019-04-25発売,5898
Corsair iCUE H115i ELITE CAPELLIX CW-9060047-WW,水冷型 | 140x140x25 mm | 2021-01-30発売,22180
