MSI GeForce RTX 3070 GAMING X TRIO,GeForce RTX 3070 | GDDR6 8GB,78078
MSI GeForce RTX 2060 GAMING Z 6G,GeForce RTX 2060 | GDDR6 6GB | 2019-02-09発売,47080
Sapphire PULSE RADEON RX 5500 XT 8G GDDR6 HDMI/TRIPLE DP OC W/BP (UEFI),Radeon RX 5500 XT | GDDR6 8GB | 2019-12-18発売,22859
ASUS PH-GTX1660S-O6G,GeForce GTX 1660 SUPER | GDDR6 6GB | 2019-10-29発売,27300
MSI GeForce GTX 1660 Ti AERO ITX 6G OC,GeForce GTX 1660 Ti | GDDR6 6GB | 2019-02-22発売,27076
玄人志向 GALAKURO GAMING GG-RTX3090-E24GB/TP,GeForce RTX 3090 | GDDR6X 24GB | 2020-09-24発売,195501
ASUS PH-GTX1650-O4GD6-P,GeForce GTX 1650 (G6) | GDDR6 4GB | 2020-11-20発売,16580
ASUS ROG-STRIX-RTX3090-O24G-GAMING,GeForce RTX 3090 | GDDR6X 24GB | 2020-10-30発売,259800
Sapphire NITRO+ RADEON RX 5500 XT 8G GDDR6 DUAL HDMI/DUAL DP OC W/BP (UEFI) SPECIAL EDITION,Radeon RX 5500 XT | GDDR6 8GB | 2019-12-01発売,26980
MSI GeForce GTX 1650 D6 AERO ITX J OC,GeForce GTX 1650 (G6) | GDDR6 4GB | 2021-01-29発売,19250
MSI Radeon RX 550 AERO ITX 2G OC,Radeon RX 550 | GDDR5 2GB | 2017-04-20発売,7880
Zotac GAMING GeForce RTX 3060 Twin Edge OC ZT-A30600H-10M,GeForce RTX 3060 | GDDR6 12GB | 2021-02-26発売,58080
MSI GeForce GTX 1660 SUPER VENTUS XS OC,GeForce GTX 1660 SUPER | GDDR6 6GB | 2019-10-29発売,30025
MSI GeForce RTX 3090 GAMING X TRIO 24G,GeForce RTX 3090 | GDDR6X 24GB | 2020-09-24発売,209729
MSI GeForce GTX 1660 SUPER AERO ITX OC,GeForce GTX 1660 SUPER | GDDR6 6GB | 2019-10-29発売,27500
ギガバイト GV-N166SOC-6GD,GeForce GTX 1660 SUPER | GDDR6 6GB | 2019-10-29発売,28616
Colorful GeForce GTX 1660 SUPER NB 6G,GeForce GTX 1660 SUPER | GDDR6 6GB | 2019-11-09発売,28800
ASUS TUF-GTX1650-O4GD6-P-GAMING,GeForce GTX 1650 (G6) | GDDR6 4GB | 2021-02-19発売,23380
