Crucial CT2K8G4DFS832A,2 x 8GB | DDR4-3200 | DIMM,7150
CFD Selection W4U2666CM-8GR,2 x 8GB | DDR4-2666 | DIMM | 2021-01-01発売,6960
CFD Selection W4U3200CM-16GR,2 x 16GB | DDR4-3200 | DIMM | 2021-01-01発売,13750
CFD Selection D4N3200CM-8GR,1 x 8GB | DDR4-3200 | S.O.DIMM | 2021-01-01発売,3828
CFD W4U2666CX1-8G,2 x 8GB | DDR4-2666 | DIMM | 2019-10-01発売,6578
Crucial CT2K16G4DFD832A,2 x 16GB | DDR4-3200 | DIMM,13521
umax UM-DDR4D-2666-16GBHS,2 x 8GB | DDR4-2666 | DIMM,6470
Corsair CMK64GX4M2E3200C16,2 x 32GB | DDR4-3200 | DIMM,29970
CFD D4U2666PS-8GC19,1 x 8GB | DDR4-2666 | DIMM | 2018-09-01発売,3471
Team TPD416G2666HC19DC01,2 x 8GB | DDR4-2666 | DIMM,6646
Corsair CMK32GX4M2D3200C16,2 x 16GB | DDR4-2133(DDR4-3200) | DIMM,14410
CFD Selection W4U2666CM-16GS,2 x 16GB | DDR4-2666 | DIMM,12980
CFD Selection W4N3200CM-8GR,2 x 8GB | DDR4-3200 | S.O.DIMM | 2021-01-01発売,7128
G.Skill F4-3600C19D-16GSXWB,2 x 8GB | DDR4-2133(DDR4-3600) | DIMM | 2018-05-02発売,7799
umax UM-DDR4D-3200-32GBHS,2 x 16GB | DDR4-3200 | DIMM,12973
G.Skill F4-3600C19D-32GSXWB,2 x 16GB | DDR4-2133(DDR4-3600) | DIMM,15980
Crucial CT2K8G4DFS8266,2 x 8GB | DDR4-2666 | DIMM | 2017-06-01発売,7480
トランセンド JetRam JM2666HSB-8G,1 x 8GB | DDR4-2666 | S.O.DIMM,3810
ADATA AD4U3200732G22-D,2 x 32GB | DDR4-3200 | DIMM,26223
CFD Selection W4U3200CM-8GR,2 x 8GB | DDR4-3200 | DIMM | 2021-01-01発売,7128
G.Skill F4-3600C16D-32GTZNC,2 x 16GB | DDR4-2133(DDR4-3600) | DIMM,23518
umax UM-SODDR4S-2666-8G,1 x 8GB | DDR4-2666 | S.O.DIMM,3264
CFD D4N2666PS-16G,1 x 16GB | DDR4-2666 | S.O.DIMM | 2017-10-01発売,6398
CFD D4U2400PS-4GC17,1 x 4GB | DDR4-2400 | DIMM | 2018-07-01発売,1970
Crucial CT8G4SFS8266,1 x 8GB | DDR4-2666 | S.O.DIMM,3799
G.Skill F4-3200C16D-32GTZRX,2 x 16GB | DDR4-3200 | DIMM,18678
Crucial Ballistix BL2K8G36C16U4B,2 x 8GB | DDR4-3600 | DIMM | 2020-03-27発売,10678
Crucial CT2K8G4DFS824A,2 x 8GB | DDR4-2400 | DIMM,7120
CFD Selection D4N3200CM-16G,1 x 16GB | DDR4-3200 | S.O.DIMM | 2019-05-01発売,8228
CFD Selection D4N2666CM-16GR,1 x 16GB | DDR4-2666 | S.O.DIMM | 2021-01-01発売,6578
CFD D4N2400PS-8G,1 x 8GB | DDR4-2400 | S.O.DIMM | 2018-03-01発売,3826
CFD Selection W4N3200CM-16GR,2 x 16GB | DDR4-3200 | S.O.DIMM | 2021-01-01発売,15793
CFD W4U3200PS-8G,2 x 8GB | DDR4-3200 | DIMM | 2019-11-01発売,6989
CFD Selection D4N3200CM-8G,1 x 8GB | DDR4-3200 | S.O.DIMM | 2019-05-01発売,3980
CFD D4N2400PS-4G,1 x 4GB | DDR4-2400 | S.O.DIMM | 2018-03-01発売,1944
CFD W4U2400PS-4GC17,2 x 4GB | DDR4-2400 | DIMM,3874
Crucial CT8G4SFS832A,1 x 8GB | DDR4-3200 | S.O.DIMM,3880
Crucial Ballistix BL2K16G32C16U4B,2 x 16GB | DDR4-3200 | DIMM,18231
CFD W4U3200PS-16G,2 x 16GB | DDR4-3200 | DIMM | 2019-11-01発売,13800
CFD Selection W4U3200CM-16G,2 x 16GB | DDR4-3200 | DIMM | 2019-05-01発売,14608
Crucial CT2K16G4DFD8266,2 x 16GB | DDR4-2666 | DIMM | 2017-06-01発売,13800
Crucial Ballistix BL2K32G36C16U4B,2 x 32GB | DDR4-3600 | DIMM | 2020-03-27発売,44090
