In Win Sirius Loop ASL120 ASL120FAN-3PK,120 mm | 1800 rpm | 27.0 dB | 2019-07-24発売,2660
サイズ WONDER SNAIL 120 PWM 1800RPM WS1225FD18-P,120 mm | 1800 rpm | 22.9 dB | 2021-01-21発売,1169
Noctua NF-A12x25 PWM,120 mm | 2000 rpm | 22.6 dB,4048
サイズ KAZE FLEX 120 PWM SU1225FD12M-RHP,120 mm | 1200 rpm | 24.9 dB | 2017-08-01発売,917
サイズ WONDER SNAIL 120 PWM 2400RPM WS1225FD24-P,120 mm | 2400 rpm | 29.3 dB | 2021-01-21発売,1169
サイズ KAZE FLEX 140 SQUARE PWM 1200rpm KF1425FD12S-P,140 mm | 1200 rpm | 19.4 dB | 2019-11-21発売,1450
クーラーマスター MasterFan MF120 Halo MFL-B2DN-18NPA-R1,120 mm | 1800 rpm | 30.0 dB | 2020-01-24発売,1462
In Win Jupiter AJ140 FN-AJ140-3PK,140 mm | 1400 rpm | 34.0 dB | 2020-09-26発売,3523
Deepcool RF120 FS DP-FLED3-RF120-FS,120 mm | 1500 rpm | 27.0 dB,583
サイズ KAZE-FLEX 140mm PWM KF1425FD18-P,140 mm | 1800 rpm | 26.4 dB | 2019-07-25発売,1470
Thermaltake TOUGHFAN 12 2Pack CL-F082-PL12BL-A,120 mm | 2000 rpm | 22.3 dB | 2020-11-27発売,4400
In Win Sirius Pure ASP120 FN-ASP120-3PK,120 mm | 1800 rpm | 27.0 dB | 2020-09-26発売,3727
サイズ KAZE-FLEX 92 Slim PWM 2500rpm KF9215FD25-P,92 mm | 2500 rpm | 23.2 dB | 2019-10-10発売,991
Corsair iCUE QL120 RGB Triple Fan Kit with Lighting Node CORE CO-9050104-WW,120 mm | 1500 rpm | 26.0 dB | 2020-04-25発売,11380
クーラーマスター MasterFan MF120 Halo 3in1 MFL-B2DN-183PA-R1,120 mm | 1800 rpm | 30.0 dB | 2020-07-29発売,5000
Thermaltake TOUGHFAN 12 CL-F117-PL12BL-A,120 mm | 2000 rpm | 22.3 dB | 2020-11-06発売,2310
Noctua NF-P12 redux-1700 PWM,120 mm | 1700 rpm | 25.1 dB,2178
Thermaltake TOUGHFAN 14 2Pack CL-F085-PL14BL-A,140 mm | 2000 rpm | 33.2 dB | 2020-12-25発売,4895
Corsair ML140(2-Pack) CO-9050044-WW,140 mm | 2000 rpm | 2016-08-13発売,3755
クーラーマスター SickleFlow 120 MFX-B2NN-18NPK-R1,120 mm | 1800 rpm | 27.0 dB | 2020-08-14発売,982
サイズ KAZE FLEX 120 SU1225FD12L-RD,120 mm | 800 rpm | 14.5 dB | 2017-08-01発売,779
Noctua NF-A12x15 PWM,120 mm | 1850 rpm | 23.9 dB,2480
In Win Sirius Loop ASL120 ASL120FAN-1PK,120 mm | 1800 rpm | 27.0 dB | 2019-07-24発売,1078
サイズ KAZE-FLEX 120mm SLIM PWM KF1215FD18-P,120 mm | 1800 rpm | 30.0 dB | 2019-07-25発売,1089
Lian Li UNI FAN SL120 BK 3Pack UF-SL120-3BK,1900 rpm | 31.0 dB | 2020-09-07発売,8910
Corsair iCUE QL120 RGB Triple Fan Kit with Lighting Node CORE CO-9050098-WW,120 mm | 1500 rpm | 26.0 dB | 2020-01-18発売,11380
クーラーマスター SickleFlow 120 ARGB MFX-B2DN-18NPA-R1,120 mm | 1800 rpm | 27.0 dB | 2020-08-14発売,1736
サイズ WONDER SNAIL 120 PWM 1200RPM WS1225FD12-P,120 mm | 1200 rpm | 18.6 dB | 2021-01-21発売,1164
In Win Jupiter AJ140 FN-AJ140-1PK,140 mm | 1400 rpm | 34.0 dB | 2020-09-26発売,1207
Be Quiet SILENT WINGS 3 120mm PWM High-Speed BL070,120 mm | 2200 rpm | 28.6 dB | 2016-10-12発売,3480
Deepcool GAMER STORM TF120 S WHITE DP-GS-H12FDB-TF120S-WH,120 mm | 1800 rpm | 32.1 dB,759
Corsair LL120 RGB 3Fan Pack with Lighting Node PRO CO-9050072-WW,120 mm | 1500 rpm | 24.8 dB | 2017-12-09発売,7531
サイズ KAZE FLEX 140 ROUND ARGB PWM 1800RPM KF1425FD18AR-P,140 mm | 1800 rpm | 26.4 dB | 2020-07-21発売,1879
Fractal Design FD-FAN-DYN-X2-GP14-PWM-BK,140 mm | 1700 rpm | 33.7 dB | 2019-06-01発売,2373
In Win Jupiter AJ120 FN-AJ120-3PK,120 mm | 1800 rpm | 35.0 dB | 2020-08-07発売,3020
NZXT AER RGB2 HF-28120-B1,120 mm | 1500 rpm | 33.0 dB | 2018-10-26発売,3210
サイズ KAZE FLEX 120 RGB PWM SU1225FD12MR-RHP,120 mm | 1200 rpm | 24.9 dB | 2018-06-14発売,1368
GELID Solutions Stella FN-STELLA-01,120 mm | 1600 rpm | 35.0 dB | 2020-11-26発売,1280
Be Quiet SILENT WINGS 3 140mm PWM High-Speed BL071,140 mm | 1600 rpm | 28.1 dB | 2016-10-12発売,3680
GELID Solutions Silent Pro 14,140 mm | 1500 rpm | 27.8 dB | 2017-11-01発売,1071
Corsair iCUE QL140 RGB Dual Fan Kit with Lighting Node CORE CO-9050100-WW,140 mm | 1250 rpm | 26.0 dB | 2020-01-18発売,10150
Lian Li ST120-3W,120 mm | 1900 rpm | 32.0 dB | 2021-01-19発売,4400
サイズ KAZE FLEX 120 ARGB PWM 1200rpm KF1225FD12AR-P,120 mm | 1200 rpm | 24.9 dB | 2020-01-23発売,1350
クーラーマスター MasterFan MF120 Halo White Edition MFL-B2DW-18NPA-R1,120 mm | 1800 rpm | 30.0 dB | 2020-07-29発売,1980
In Win Jupiter AJ120 FN-AJ120-1PK,120 mm | 1800 rpm | 35.0 dB | 2020-09-01発売,1097
Silverstone Air Blazer 120RW SST-AB120RW-ARGB,120 mm | 2200 rpm | 35.6 dB | 2020-12-22発売,2200
Noctua NF-A12x15 PWM chromax.black.swap,120 mm | 1850 rpm | 23.9 dB,3180
Akasa Slimfan AK-FN078B,120 mm | 1600 rpm | 30.3 dB | 2018-11-06発売,923
Corsair ML120(2-Pack) CO-9050039-WW,120 mm | 2400 rpm | 37.0 dB | 2016-08-13発売,2900
Noctua NF-A9 PWM chromax.black.swap,92 mm | 2000 rpm | 22.8 dB,2380
サイズ KAZE FLEX 140 SQUARE RGB PWM 1200rpm KF1425FD12SR-P,140 mm | 1200 rpm | 19.4 dB | 2019-11-21発売,1636
Deepcool GAMER STORM TF120 S DP-GS-H12FDB-TF120S-BK,120 mm | 1800 rpm | 32.1 dB,842
Alseye SC-120-B,120 mm | 1000 rpm | 18.0 dB | 2019-04-24発売,654
クーラーマスター MasterFan MF200R ARGB R4-200R-08FA-R1,200 mm | 800 rpm | 28.0 dB | 2019-07-26発売,2673
Lian Li ST120-3B,120 mm | 1900 rpm | 32.0 dB | 2021-01-19発売,4400
Thermaltake Pure 12 ARGB Sync 3Pack CL-F079-PL12SW-A,120 mm | 1500 rpm | 25.8 dB | 2019-03-15発売,4536
Silverstone Air Blazer 120R SST-AB120R-ARGB,120 mm | 2200 rpm | 35.6 dB | 2020-01-30発売,2310
Noctua NF-A14 industrialPPC-2000 PWM,140 mm | 2000 rpm | 31.5 dB,3344
Fractal Design FD-FAN-PRI-AL14-PWM,140 mm | 2019-03-15発売,3201
Noctua NF-A9x14 HS-PWM chromax.black.swap,92 mm | 2500 rpm | 23.6 dB,2380
Noctua NF-A4x20 PWM,40 mm | 5000 rpm | 14.9 dB,1780
Noctua NF-A9x14 HS-PWM chromax.black.swap,92 mm | 2500 rpm | 23.6 dB,2380
Corsair LL120 RGB Single Pack CO-9050091-WW,120 mm | 2200 rpm | 36.0 dB | 2019-02-16発売,3276
Corsair LL120 RGB 3Fan Pack with Lighting Node PRO CO-9050092-WW,120 mm | 2200 rpm | 36.0 dB | 2019-02-16発売,9820
Noctua NF-A12x25 ULN,120 mm | 1200 rpm | 12.1 dB,3628
Noctua NF-P12 redux-1300 PWM,120 mm | 1300 rpm | 19.8 dB,1749
Thermaltake Pure Duo 14 ARGB Sync 2Pack CL-F098-PL14SW-A,140 mm | 1500 rpm | 33.5 dB | 2020-10-02発売,4950
サイズ KAZE-FLEX 140mm RGB PWM KF1425FD18R-P,140 mm | 1800 rpm | 26.4 dB | 2019-07-25発売,1810
Noctua NF-P14r redux-1500 PWM,140 mm | 1500 rpm | 25.8 dB,2180
サイズ KAZE FLEX 140 SQUARE ARGB PWM 1200RPM KF1425FD12SAR-P,140 mm | 1200 rpm | 19.4 dB | 2020-07-21発売,1879
In Win Saturn ASN120 FN-ASN120-3PK,120 mm | 1800 rpm | 35.0 dB | 2020-10-23発売,4488
Thermaltake TOUGHFAN 14 CL-F118-PL14BL-A,140 mm | 2000 rpm | 33.2 dB | 2020-12-25発売,2585
サイズ KAZE-FLEX 92mm PWM RGB KF9225FD23R-P,92 mm | 2300 rpm | 28.8 dB | 2019-07-25発売,1109
Corsair iCUE QL140 RGB Dual Fan Kit with Lighting Node CORE CO-9050106-WW,140 mm | 1250 rpm | 26.0 dB | 2020-04-25発売,10150
クーラーマスター SickleFlow 120 RGB MFX-B2DN-18NPC-R1,120 mm | 1800 rpm | 27.0 dB | 2020-08-14発売,1291
Noctua NF-P14s redux-1500 PWM,140 mm | 1500 rpm | 25.8 dB,2180
サイズ KAZE FLEX 120 SU1225FD12H-RP,120 mm | 2000 rpm | 38.0 dB | 2017-08-01発売,779
Deepcool RF120-3in1,120 mm | 1500 rpm | 27.0 dB,2970
クーラーマスター SickleFlow 140 ARGB MFX-B4DN-14NPA-R1,140 mm | 1400 rpm | 27.0 dB | 2020-12-25発売,2178
Noctua NF-A14 PWM chromax.black.swap,140 mm | 1500 rpm | 24.6 dB,3080
Lian Li UNI FAN SL120 BK Single Pack UF-SL120-1BK,1900 rpm | 31.0 dB | 2020-09-07発売,2750
Thermaltake Pure Duo 14 ARGB Sync 2Pack CL-F116-PL14SW-A,140 mm | 1500 rpm | 33.5 dB | 2020-10-02発売,4950
