In Win Sirius Loop ASL120 ASL120FAN-3PK,120 mm | 1800 rpm | 27.0 dB | 2019-07-24発売
ADATA XPG VENTO PRO 120 PWM VENTOPRO120PWM-BKCWW,120 mm | 2150 rpm | 28.0 dB | 2021-01-14発売
サイズ KAZE FLEX 120 PWM SU1225FD12M-RHP,120 mm | 1200 rpm | 24.9 dB | 2017-08-01発売
サイズ WONDER SNAIL 120 PWM 1800RPM WS1225FD18-P,120 mm | 1800 rpm | 22.9 dB | 2021-01-21発売
クーラーマスター MasterFan MF120 Halo MFL-B2DN-18NPA-R1,120 mm | 1800 rpm | 30.0 dB | 2020-01-24発売
サイズ WONDER SNAIL 120 PWM 2400RPM WS1225FD24-P,120 mm | 2400 rpm | 29.3 dB | 2021-01-21発売
Thermaltake TOUGHFAN 12 2Pack CL-F082-PL12BL-A,120 mm | 2000 rpm | 22.3 dB | 2020-11-27発売
Noctua NF-A12x25 PWM,120 mm | 2000 rpm | 22.6 dB
サイズ KAZE FLEX 140 SQUARE PWM 1200rpm KF1425FD12S-P,140 mm | 1200 rpm | 19.4 dB | 2019-11-21発売
Thermaltake TOUGHFAN 14 CL-F118-PL14BL-A,140 mm | 2000 rpm | 33.2 dB | 2020-12-25発売
クーラーマスター SickleFlow 120 MFX-B2NN-18NPK-R1,120 mm | 1800 rpm | 27.0 dB | 2020-08-14発売
クーラーマスター MasterFan MF120 Halo 3in1 MFL-B2DN-183PA-R1,120 mm | 1800 rpm | 30.0 dB | 2020-07-29発売
Thermaltake TOUGHFAN 14 2Pack CL-F085-PL14BL-A,140 mm | 2000 rpm | 33.2 dB | 2020-12-25発売
サイズ WONDER SNAIL 120 PWM 1200RPM WS1225FD12-P,120 mm | 1200 rpm | 18.6 dB | 2021-01-21発売
Corsair iCUE QL120 RGB Triple Fan Kit with Lighting Node CORE CO-9050098-WW,120 mm | 1500 rpm | 26.0 dB | 2020-01-18発売
In Win Sirius Pure ASP120 FN-ASP120-3PK,120 mm | 1800 rpm | 27.0 dB | 2020-09-26発売
Thermaltake TOUGHFAN 12 CL-F117-PL12BL-A,120 mm | 2000 rpm | 22.3 dB | 2020-11-06発売
Noctua NF-A12x15 PWM chromax.black.swap,120 mm | 1850 rpm | 23.9 dB
サイズ KAZE FLEX 120 SU1225FD12L-RD,120 mm | 800 rpm | 14.5 dB | 2017-08-01発売
クーラーマスター MasterFan MF120 Halo White Edition MFL-B2DW-18NPA-R1,120 mm | 1800 rpm | 30.0 dB | 2020-07-29発売
Fractal Design FD-FAN-DYN-X2-GP14-PWM-BK,140 mm | 1700 rpm | 33.7 dB | 2019-06-01発売
Corsair iCUE QL140 RGB Dual Fan Kit with Lighting Node CORE CO-9050100-WW,140 mm | 1250 rpm | 26.0 dB | 2020-01-18発売
サイズ KAZE-FLEX 140mm PWM KF1425FD18-P,140 mm | 1800 rpm | 26.4 dB | 2019-07-25発売
Corsair LL120 RGB 3Fan Pack with Lighting Node PRO CO-9050092-WW,120 mm | 2200 rpm | 36.0 dB | 2019-02-16発売
サイズ KAZE-FLEX 120mm SLIM PWM KF1215FD18-P,120 mm | 1800 rpm | 30.0 dB | 2019-07-25発売
GELID Solutions Stella FN-STELLA-01,120 mm | 1600 rpm | 35.0 dB | 2020-11-26発売
サイズ KAZE-FLEX 92 Slim PWM 2500rpm KF9215FD25-P,92 mm | 2500 rpm | 23.2 dB | 2019-10-10発売
In Win Jupiter AJ120 FN-AJ120-3PK,120 mm | 1800 rpm | 35.0 dB | 2020-08-07発売
Corsair ML140(2-Pack) CO-9050044-WW,140 mm | 2000 rpm | 2016-08-13発売
NZXT AER RGB2 HF-28120-B1,120 mm | 1500 rpm | 33.0 dB | 2018-10-26発売
Corsair iCUE QL140 RGB Dual Fan Kit with Lighting Node CORE CO-9050106-WW,140 mm | 1250 rpm | 26.0 dB | 2020-04-25発売
Noctua NF-P12 redux-1700 PWM,120 mm | 1700 rpm | 25.1 dB
In Win Jupiter AJ120 FN-AJ120-1PK,120 mm | 1800 rpm | 35.0 dB | 2020-09-01発売
Deepcool GAMER STORM TF120 S WHITE DP-GS-H12FDB-TF120S-WH,120 mm | 1800 rpm | 32.1 dB
