AMD Ryzen 5 5600X,6 コア | 12 スレッド | 3.7 GHz | Socket AM4 | 65 W | 2020-11-06発売
AMD Ryzen 7 5800X,8 コア | 16 スレッド | 3.8 GHz | Socket AM4 | 105 W | 2020-11-06発売
AMD Ryzen 9 5950X,16 コア | 32 スレッド | 3.4 GHz | Socket AM4 | 105 W | 2020-11-06発売
Intel Core i5 10400F,6 コア | 12 スレッド | 2.9 GHz | LGA 1200 | 65 W | 2020-06-19発売
AMD Ryzen 9 3950X,16 コア | 32 スレッド | 3.5 GHz | Socket AM4 | 105 W | 2019-11-30発売
AMD Ryzen 5 3600,2019-07-07発売
AMD Ryzen 9 5900X,12 コア | 24 スレッド | 3.7 GHz | Socket AM4 | 105 W | 2020-11-06発売
AMD Ryzen 7 3700X,8 コア | 16 スレッド | 3.6 GHz | Socket AM4 | 65 W | 2019-07-07発売
Intel Core i5 10400,6 コア | 12 スレッド | 2.9 GHz | LGA 1200 | 65 W | 2020-05-20発売
Intel Core i7 10700,8 コア | 16 スレッド | 2.9 GHz | LGA 1200 | 65 W
AMD Ryzen 5 3500,6 コア | 6 スレッド | 3.6 GHz | Socket AM4 | 65 W | 2020-02-22発売
Intel Core i7 10700K,8 コア | 16 スレッド | 3.8 GHz | LGA 1200 | 125 W | 2020-05-20発売
Intel Core i9 10900K,10 コア | 20 スレッド | 3.7 GHz | LGA 1200 | 125 W | 2020-05-20発売
Intel Core i3 10100F,4 コア | 8 スレッド | 3.6 GHz | LGA 1200 | 65 W
AMD Ryzen 9 3900XT,12 コア | 24 スレッド | 3.8 GHz | Socket AM4 | 105 W | 2020-07-18発売
Intel Core i3 10100,4 コア | 8 スレッド | 3.6 GHz | LGA 1200 | 65 W | 2020-05-27発売
AMD Ryzen 3 3100,4 コア | 8 スレッド | 3.6 GHz | Socket AM4 | 65 W | 2020-05-23発売
AMD Ryzen 3 3200G,4 コア | 4 スレッド | 3.6 GHz | Socket AM4 | 65 W | 2019-07-07発売
AMD Ryzen 9 3900X,12 コア | 24 スレッド | 3.8 GHz | Socket AM4 | 105 W | 2019-07-07発売
Intel Core i7 10700F,8 コア | 16 スレッド | 2.9 GHz | LGA 1200 | 65 W | 2020-05-28発売
Intel Core i9 9900,8 コア | 16 スレッド | 3.1 GHz | LGA 1151 | 65 W
Intel Core i9 10900,10 コア | 20 スレッド | 2.8 GHz | LGA 1200 | 65 W | 2020-05-27発売
AMD Ryzen 5 3400G,4 コア | 8 スレッド | 3.7 GHz | Socket AM4 | 65 W | 2019-07-07発売
AMD Athlon 200GE,2 コア | 4 スレッド | 3.2 GHz | Socket AM4 | 35 W | 2018-09-28発売
AMD Ryzen 9 3900,12 コア | 24 スレッド | 3.1 GHz | Socket AM4 | 65 W | 2020-10-01発売
Intel Core i7 9700,8 コア | 8 スレッド | 3 GHz | LGA 1151 | 65 W
Intel Core i5 9400,6 コア | 6 スレッド | 2.9 GHz | LGA 1151 | 65 W
Intel Core i9 9900KF,8 コア | 16 スレッド | 3.6 GHz | LGA 1151 | 95 W | 2019-03-29発売
Intel Core i7 10700KF,8 コア | 16 スレッド | 3.8 GHz | LGA 1200 | 125 W | 2020-06-19発売
Intel Core i5 10600KF,6 コア | 12 スレッド | 4.1 GHz | LGA 1200 | 95 W | 2020-05-21発売
Intel Core i3 9100,4 コア | 4 スレッド | 3.7 GHz | LGA 1151 | 65 W
Intel Core i7 9700K,8 コア | 8 スレッド | 3.6 GHz | LGA 1151 | 95 W | 2018-10-20発売
Intel Core i9 10850K,10 コア | 20 スレッド | 3.6 GHz | LGA 1200 | 125 W | 2020-08-21発売
Intel Core i5 10500,6 コア | 12 スレッド | 3.1 GHz | LGA 1200 | 65 W | 2020-05-27発売
Intel Core i5 9400F,6 コア | 6 スレッド | 2.9 GHz | LGA 1151 | 65 W | 2019-02-01発売
Intel Pentium Gold G6400,2 コア | 4 スレッド | 4 GHz | LGA 1200 | 58 W | 2020-05-27発売
AMD Ryzen 5 3600XT,6 コア | 12 スレッド | 3.8 GHz | Socket AM4 | 95 W | 2020-07-18発売
Intel Pentium Gold G5620,2 コア | 4 スレッド | 4 GHz | LGA 1151 | 51 W | 2019-11-15発売
AMD Ryzen 7 3800X,8 コア | 16 スレッド | 3.9 GHz | Socket AM4 | 105 W | 2019-07-07発売
AMD Athlon 3000G,2 コア | 4 スレッド | 3.5 GHz | Socket AM4 | 35 W | 2019-11-23発売
Intel Core i7 9700KF,8 コア | 8 スレッド | 3.6 GHz | LGA 1151 | 95 W | 2019-03-29発売
Intel Core i9 9900K,8 コア | 16 スレッド | 3.6 GHz | LGA 1151 | 95 W | 2018-10-20発売
Intel Core i9 10980XE Extreme Edition,18 コア | 36 スレッド | 3 GHz | LGA 2066 | 165 W | 2019-11-29発売
Intel Celeron G4930,2 コア | 2 スレッド | 3.2 GHz | LGA 1151 | 54 W
Intel Core i5 10600K,6 コア | 12 スレッド | 4.1 GHz | LGA 1200 | 125 W | 2020-05-21発売
Intel Core i3 9100F,4 コア | 4 スレッド | 3.6 GHz | LGA 1151 | 65 W | 2019-05-16発売
Intel Core i5 9600K,6 コア | 6 スレッド | 3.7 GHz | LGA 1151 | 95 W | 2018-10-20発売
AMD Ryzen Threadripper 2970WX,24 コア | 48 スレッド | 3 GHz | Socket TR4 | 250 W | 2018-10-01発売
Intel Core i5 10600,6 コア | 12 スレッド | 3.3 GHz | LGA 1200 | 65 W | 2020-05-27発売
AMD Ryzen Threadripper 3990X,64 コア | 128 スレッド | 2.9 GHz | Socket sTRX4 | 280 W | 2020-02-08発売
AMD Ryzen Threadripper 3960X,24 コア | 48 スレッド | 3.8 GHz | Socket TR4 | 280 W | 2019-11-30発売
Intel Core i9 10900KF,10 コア | 20 スレッド | 3.7 GHz | LGA 1200 | 125 W
Intel Core i9 10900F,10 コア | 20 スレッド | 2.8 GHz | LGA 1200 | 65 W | 2020-06-19発売
AMD Ryzen 7 3800XT,8 コア | 16 スレッド | 3.9 GHz | Socket AM4 | 105 W | 2020-07-18発売
Intel Core i3 10320,4 コア | 8 スレッド | 3.8 GHz | LGA 1200 | 65 W | 2020-05-27発売
AMD Ryzen Threadripper 3970X,2019-11-30発売
Intel Celeron G5900,2 コア | 2 スレッド | 3.4 GHz | LGA 1200 | 58 W | 2020-05-27発売
AMD Ryzen 5 3600X,2019-07-07発売
Intel Core i5 9600KF,6 コア | 6 スレッド | 3.7 GHz | LGA 1151 | 95 W | 2019-03-29発売
Intel Core i7 9700F,8 コア | 8 スレッド | 3 GHz | LGA 1151 | 65 W | 2019-06-07発売
Intel Core i9 10900X,10 コア | 20 スレッド | 3.7 GHz | LGA 2066 | 165 W | 2019-11-29発売
Intel Core i7 8700,6 コア | 12 スレッド | 3.2 GHz | LGA 1151 | 65 W | 2017-11-02発売
Intel Celeron G5905,2 コア | 2 スレッド | 3.5 GHz | LGA 1200 | 58 W
Intel Core i5 9500,6 コア | 6 スレッド | 3 GHz | LGA 1151 | 65 W
Intel Xeon W-1290,10 コア | 20 スレッド | 3.2 GHz | LGA 1200 | 80 W
Intel Core i3 9350KF,4 コア | 4 スレッド | 4 GHz | LGA 1151 | 91 W | 2019-04-12発売
Intel Pentium Gold G5420,2 コア | 4 スレッド | 3.8 GHz | LGA 1151 | 54 W
Intel Core i7 8700K,6 コア | 12 スレッド | 3.7 GHz | LGA 1151 | 95 W | 2017-11-02発売
Intel Celeron G4900,2 コア | 2 スレッド | 3.1 GHz | LGA 1151 | 54 W | 2018-04-03発売
Intel Core i9 10940X,14 コア | 28 スレッド | 3.3 GHz | LGA 2066 | 165 W
AMD Ryzen 5 1600X,6 コア | 12 スレッド | 3.6 GHz | Socket AM4 | 95 W | 2017-04-11発売
Intel Xeon Platinum 8180,28 コア | 56 スレッド | 2.5 GHz | LGA 3647 | 205 W
Intel Core i7 9800X,8 コア | 16 スレッド | 3.8 GHz | LGA 2066 | 165 W | 2018-11-01発売
Intel Celeron Dual-Core G3930,2 コア | 2 スレッド | 2.9 GHz | LGA 1151 | 51 W | 2017-01-06発売
Intel Xeon Silver 4214,12 コア | 24 スレッド | 2.2 GHz | LGA 3647 | 85 W
Intel Core i3 8100,4 コア | 4 スレッド | 3.6 GHz | LGA 1151 | 65 W | 2017-11-02発売
Intel Core i5 8600,6 コア | 6 スレッド | 3.1 GHz | LGA 1151 | 65 W | 2018-04-03発売
Intel Xeon Gold 6248R,24 コア | 48 スレッド | 3 GHz | LGA 3647 | 205 W
AMD Ryzen 5 2600,6 コア | 12 スレッド | 3.4 GHz | Socket AM4 | 65 W | 2018-04-19発売
Intel Xeon W-2235,6 コア | 12 スレッド | 3.8 GHz | LGA 2066 | 130 W
Intel Xeon W-2235,6 コア | 12 スレッド | 3.8 GHz | LGA 2066 | 130 W
AMD Ryzen 5 2400G,4 コア | 8 スレッド | 3.6 GHz | Socket AM4 | 65 W | 2018-02-13発売
Intel Xeon W-3175X,28 コア | 56 スレッド | 3.1 GHz | LGA 3647 | 255 W
Intel Core i5 8400,6 コア | 6 スレッド | 2.8 GHz | LGA 1151 | 65 W | 2017-11-02発売
AMD Ryzen 7 1700,8 コア | 16 スレッド | 3 GHz | Socket AM4 | 65 W | 2017-03-02発売
Intel Core i9 10920X,12 コア | 24 スレッド | 3.5 GHz | LGA 2066 | 165 W | 2019-12-13発売
Intel Core i9 7960X,16 コア | 32 スレッド | 2.8 GHz | LGA 2066 | 165 W | 2017-10-25発売
Intel Xeon E3-1220 v6,4 コア | 4 スレッド | 3 GHz | LGA 1151 | 72 W
Intel Xeon Bronze 3204,6 コア | 6 スレッド | 1.9 GHz | LGA 3647 | 85 W
AMD Ryzen Threadripper 1950X,16 コア | 32 スレッド | 3.4 GHz | Socket SP3r2 | 180 W | 2017-08-10発売
Intel Celeron G4950,2 コア | 2 スレッド | 3.3 GHz | LGA 1151 | 54 W
Intel Xeon W-1250,6 コア | 12 スレッド | 3.3 GHz | LGA 1200 | 80 W
AMD Ryzen 7 2700X,8 コア | 16 スレッド | 3.7 GHz | Socket AM4 | 105 W | 2018-04-19発売
Intel Xeon W-2123,4 コア | 8 スレッド | 3.6 GHz | LGA 2066 | 120 W
Intel Celeron G5925,2 コア | 2 スレッド | 3.6 GHz | LGA 1200 | 58 W
Intel Xeon E-2236,6 コア | 12 スレッド | 3.4 GHz | LGA 1151 | 80 W
Intel Core i5 9600,6 コア | 6 スレッド | 3.1 GHz | LGA 1151 | 65 W
Intel Core i9 9980XE Extreme Edition,18 コア | 36 スレッド | 3 GHz | LGA 2066 | 165 W | 2018-11-01発売
Intel Core i3 10300,4 コア | 8 スレッド | 3.7 GHz | LGA 1200 | 65 W | 2020-05-27発売
Intel Pentium Gold G6600,2 コア | 4 スレッド | 4.2 GHz | LGA 1200 | 58 W | 2020-05-28発売
Intel Core i3 8350K,4 コア | 4 スレッド | 4 GHz | LGA 1151 | 91 W | 2017-11-02発売
Intel Pentium Gold G6500,2 コア | 4 スレッド | 4.1 GHz | LGA 1200 | 58 W | 2020-05-28発売
Intel Xeon Gold 6238R,28 コア | 56 スレッド | 2.2 GHz | LGA 3647 | 165 W
Intel Xeon Gold 6226R,16 コア | 32 スレッド | 2.9 GHz | LGA 3647 | 150 W
Intel Xeon W-3275M,28 コア | 56 スレッド | 2.5 GHz | LGA 3647 | 205 W
Intel Xeon Silver 4112,4 コア | 8 スレッド | 2.6 GHz | LGA 3647 | 85 W
AMD Ryzen 7 2700,8 コア | 16 スレッド | 3.2 GHz | Socket AM4 | 65 W | 2018-04-19発売
Intel Xeon Silver 4210R,10 コア | 20 スレッド | 2.4 GHz | LGA 3647 | 100 W
Intel Xeon Silver 4216,16 コア | 32 スレッド | 2.1 GHz | LGA 3647 | 100 W
AMD Ryzen Threadripper 1900X,8 コア | 16 スレッド | 3.8 GHz | Socket SP3r2 | 125 W | 2017-09-01発売
Intel Xeon Silver 4210,10 コア | 20 スレッド | 2.2 GHz | LGA 3647 | 85 W
Intel Xeon W-1270P,8 コア | 16 スレッド | 3.8 GHz | LGA 1200 | 125 W
AMD Ryzen 5 2600X,6 コア | 12 スレッド | 3.6 GHz | Socket AM4 | 95 W | 2018-04-19発売
AMD Ryzen 7 1700X,8 コア | 16 スレッド | 3.4 GHz | Socket AM4 | 95 W | 2017-03-02発売
Intel Pentium Dual-Core G4620,2 コア | 4 スレッド | 3.7 GHz | LGA 1151 | 51 W | 2017-01-06発売
Intel Core i9 9900X,10 コア | 20 スレッド | 3.5 GHz | LGA 2066 | 165 W | 2018-11-01発売
Intel Pentium Dual-Core G4600,2 コア | 4 スレッド | 3.5 GHz | LGA 1151 | 51 W | 2017-01-06発売
Intel Core i5 7600,4 コア | 4 スレッド | 3.5 GHz | LGA 1151 | 65 W | 2017-01-06発売
Intel Core i9 9920X,12 コア | 24 スレッド | 3.5 GHz | LGA 2066 | 165 W | 2018-11-01発売
Intel Pentium Gold G5500,2 コア | 4 スレッド | 3.8 GHz | LGA 1151 | 54 W | 2018-04-03発売
Intel Xeon Gold 5220,18 コア | 36 スレッド | 2.2 GHz | LGA 3647 | 125 W
Intel Xeon W-1270,8 コア | 16 スレッド | 3.4 GHz | LGA 1200 | 80 W
Intel Core i9 9940X,14 コア | 28 スレッド | 3.3 GHz | LGA 2066 | 165 W | 2018-11-01発売
Intel Xeon E5-2680 v4,14 コア | 28 スレッド | 2.4 GHz | LGA 2011-3 | 120 W | 2016-04-01発売
Intel Xeon E3-1245 v6,4 コア | 8 スレッド | 3.7 GHz | LGA 1151 | 73 W
Intel Xeon E-2234,4 コア | 8 スレッド | 3.6 GHz | LGA 1151 | 71 W
Intel Xeon E5-2687W v4,12 コア | 24 スレッド | 3 GHz | LGA 2011-3 | 160 W | 2016-04-01発売
Intel Xeon Silver 4208,8 コア | 16 スレッド | 2.1 GHz | LGA 3647 | 85 W
Intel Xeon Silver 4214,12 コア | 24 スレッド | 2.2 GHz | LGA 3647 | 85 W
Intel Xeon W-3265M,24 コア | 48 スレッド | 2.7 GHz | LGA 3647 | 205 W
Intel Xeon E-2176G,6 コア | 12 スレッド | 3.7 GHz | LGA 1151 | 80 W
Intel Xeon Gold 5220R,24 コア | 48 スレッド | 2.2 GHz | LGA 3647 | 150 W
Intel Xeon Silver 4215,8 コア | 16 スレッド | 2.5 GHz | LGA 3647 | 85 W
Intel Xeon E5-2690 v4,14 コア | 28 スレッド | 2.6 GHz | LGA 2011-3 | 135 W | 2016-04-01発売
Intel Xeon E-2224G,4 コア | 4 スレッド | 3.5 GHz | LGA 1151 | 71 W
Intel Xeon E5-2609 v4,8 コア | 8 スレッド | 1.7 GHz | LGA 2011-3 | 85 W | 2016-04-01発売
Intel Xeon Gold 6252,24 コア | 48 スレッド | 2.1 GHz | LGA 3647 | 150 W
Intel Xeon E-2134,4 コア | 8 スレッド | 3.5 GHz | LGA 1151 | 71 W
Intel Xeon E3-1225 v6,4 コア | 4 スレッド | 3.3 GHz | LGA 1151 | 73 W
