ASUS DUAL-RTX3060TI-O8G,GeForce RTX 3060 Ti | GDDR6 8GB | 2020-12-02発売
Zotac GAMING GeForce RTX 3070 Twin Edge ZT-A30700E-10P,GeForce RTX 3070 | GDDR6 8GB
MSI GeForce RTX 3080 GAMING X TRIO 10G,GeForce RTX 3080 | GDDR6X 10GB | 2020-09-17発売
Zotac GAMING GeForce RTX 3080 Trinity ZT-A30800D-10P,GeForce RTX 3080 | GDDR6X 10GB | 2020-09-17発売
Sapphire NITRO+ RADEON RX 6800 XT OC 16G GDDR6,Radeon RX 6800 XT | GDDR6 16GB | 2020-12-11発売
Palit NE63070S19P2-1041A (GeForce RTX 3070 GamingPro OC 8GB),GeForce RTX 3070 | GDDR6 8GB
玄人志向 GALAKURO GAMING GG-RTX3070-E8GB/OC/DF,GeForce RTX 3070 | GDDR6 8GB | 2020-11-01発売
Zotac GAMING GeForce RTX 3070 Twin Edge OC ZT-A30700H-10P,GeForce RTX 3070 | GDDR6 8GB
Zotac GAMING GeForce GTX 1660 SUPER Twin Fan ZT-T16620F-10L,GeForce GTX 1660 SUPER | GDDR6 6GB | 2019-10-29発売
MSI GeForce RTX 3060 Ti VENTUS 2X OCV1,GeForce RTX 3060 Ti | GDDR6 8GB | 2021-01-15発売
ASUS TUF-RTX3060TI-O8G-GAMING,GeForce RTX 3060 Ti | GDDR6 8GB | 2020-12-02発売
MSI GeForce RTX 3070 VENTUS 2X OC,GeForce RTX 3070 | GDDR6 8GB
ASUS TUF-RTX3070-O8G-GAMING,GeForce RTX 3070 | GDDR6 8GB
玄人志向 GALAKURO GAMING GG-RTX3070-E8GB/TP,GeForce RTX 3070 | GDDR6 8GB | 2020-10-29発売
MSI GeForce RTX 3070 GAMING X TRIO,GeForce RTX 3070 | GDDR6 8GB
Sapphire NITRO+ Radeon RX 6900 XT OC 16GB GDDR6,Radeon RX 6900 XT | GDDR6 16GB | 2020-12-25発売
MSI GeForce RTX 3080 VENTUS 3X 10G OC,GeForce RTX 3080 | GDDR6X 10GB | 2020-10-03発売
玄人志向 GF-GTX1650D6-E4GB/DF2,GeForce GTX 1650 (G6) | GDDR6 4GB | 2020-07-01発売
MSI Radeon RX 6800 GAMING X TRIO 16G,Radeon RX 6800 | GDDR6 16GB
玄人志向 GALAKURO GAMING GG-GTX1660SP-E6GB/DF,GeForce GTX 1660 SUPER | GDDR6 6GB | 2019-10-29発売
ギガバイト GV-N3080AORUS M-10GD Rev2.0,GeForce RTX 3080 | GDDR6X 10GB | 2021-01-01発売
Colorful iGame GeForce RTX 2060 SUPER Ultra-V,GeForce RTX 2060 SUPER | GDDR6 8GB
玄人志向 GF-GTX1650D6-E4GB/DF3,GeForce GTX 1650 (G6) | GDDR6 4GB | 2020-11-01発売
Zotac GAMING GeForce RTX 3090 Trinity ZT-A30900D-10P,GeForce RTX 3090 | GDDR6X 24GB | 2020-09-24発売
MSI GeForce RTX 3090 GAMING X TRIO 24G,GeForce RTX 3090 | GDDR6X 24GB | 2020-09-24発売
ASUS ROG-STRIX-RTX3060TI-O8G-GAMING,GeForce RTX 3060 Ti | GDDR6 8GB | 2020-12-02発売
MSI GeForce GTX 1660 Ti AERO ITX 6G OC,GeForce GTX 1660 Ti | GDDR6 6GB | 2019-02-22発売
ASUS ROG-STRIX-RTX3090-O24G-GAMING,GeForce RTX 3090 | GDDR6X 24GB | 2020-10-30発売
MSI GeForce GTX 1660 SUPER AERO ITX OC,GeForce GTX 1660 SUPER | GDDR6 6GB | 2019-10-29発売
MSI GeForce GTX 1650 SUPER AERO ITX OC,GeForce GTX 1650 SUPER | GDDR6 4GB | 2019-11-22発売
PowerColor Red Devil AMD Radeon RX 6800XT 16GB GDDR6 AXRX 6800XT 16GBD6-3DHE/OC,Radeon RX 6800 XT | GDDR6 16GB | 2021-01-01発売
ギガバイト GV-N3070VISION OC-8GD,GeForce RTX 3070 | GDDR6 8GB
