Crucial MX500 CT500MX500SSD1/JP,容量 500GB | 3D TLC | 2.5インチ | Serial ATA 6Gb/s | 2018-01-01発売
Crucial MX500 CT1000MX500SSD1/JP,容量 1TB | 3D TLC | 2.5インチ | Serial ATA 6Gb/s | 2018-01-01発売
Crucial P1 CT500P1SSD8JP,容量 500GB | 3D MLC | M.2 (Type2280) | PCI-Express Gen3 | 2018-10-01発売
サムスン 860 EVO MZ-76E1T0B/IT,容量 1TB | MLC | 2.5インチ | Serial ATA 6Gb/s | 2018-02-01発売
Plextor M8VC PX-512M8VC,容量 512GB | 3D TLC | 2.5インチ | Serial ATA 6Gb/s | 2019-04-26発売
Western Digital WD Blue SN550 NVMe WDS100T2B0C,容量 1TB | 3D MLC | M.2 (Type2280) | PCI-Express Gen3
Crucial P1 CT1000P1SSD8JP,容量 1TB | 3D MLC | M.2 (Type2280) | PCI-Express Gen3 | 2018-10-01発売
ESSENCORE KLEVV NEO N400 K240GSSDS3-N40,容量 240GB | 2.5インチ | Serial ATA 6Gb/s
SanDisk SSD PLUS SDSSDA-2T00-J26,容量 2TB | 2.5インチ | Serial ATA 6Gb/s | 2020-03-09発売
サムスン 860 EVO MZ-76E500B/IT,容量 500GB | MLC | 2.5インチ | Serial ATA 6Gb/s | 2018-02-01発売
ADATA XPG SX8100 ASX8100NP-512GT-C,容量 512GB | 3D TLC | M.2 (Type2280) | PCI-Express Gen3
ADATA XPG SX8100 ASX8100NP-2TT-C,容量 2TB | 3D TLC | M.2 (Type2280) | PCI-Express Gen3
Crucial MX500 CT250MX500SSD1/JP,容量 250GB | 3D TLC | 2.5インチ | Serial ATA 6Gb/s | 2018-01-01発売
Western Digital WD Blue 3D NAND SATA WDS500G2B0A,容量 500GB | 3D TLC | 2.5インチ | Serial ATA 6Gb/s | 2017-08-01発売
Crucial BX500 CT240BX500SSD1,容量 240GB | 3D MLC | 2.5インチ | Serial ATA 6Gb/s
Biostar M700 M700-256GB,容量 256GB | TLC | M.2 (Type2280) | PCI-Express Gen3 | 2019-12-27発売
Crucial P5 CT1000P5SSD8JP,容量 1TB | 3D MLC | M.2 (Type2280) | PCI-Express Gen3 | 2020-06-30発売
Crucial P5 CT500P5SSD8JP,容量 500GB | 3D MLC | M.2 (Type2280) | PCI-Express Gen3 | 2020-06-30発売
Western Digital WD Blue 3D NAND SATA WDS100T2B0A,容量 1TB | 3D TLC | 2.5インチ | Serial ATA 6Gb/s | 2017-08-01発売
Western Digital WD_Black SN850 NVMe WDS100T1X0E-00AFY0,容量 1TB | 3D MLC | M.2 (Type2280) | PCI-Express Gen4 | 2020-11-01発売
Apacer AS340 AP120GAS340G-1,容量 120GB | 3D TLC | 2.5インチ | Serial ATA 6Gb/s
バッファロー SSD-PUT1.0U3-BKA,容量 1TB | USB | 2020-12-01発売
ADATA XPG SX8100 ASX8100NP-1TT-C,容量 1TB | 3D TLC | M.2 (Type2280) | PCI-Express Gen3
Western Digital WD Blue SN550 NVMe WDS500G2B0C,容量 500GB | 3D MLC | M.2 (Type2280) | PCI-Express Gen3
Western Digital WD_Black SN850 NVMe WDS500G1X0E-00AFY0,容量 500GB | 3D MLC | M.2 (Type2280) | PCI-Express Gen4 | 2020-11-01発売
ADATA XPG SX6000 Lite ASX6000LNP-1TT-C,容量 1TB | 3D MLC | M.2 (Type2280) | PCI-Express Gen3 | 2019-02-06発売
HP S700 2DP99AA#UUF,容量 500GB | 3D TLC | 2.5インチ | Serial ATA 6Gb/s | 2018-10-15発売
ADATA XPG SX8100 ASX8100NP-256GT-C,容量 256GB | 3D MLC | M.2 (Type2280) | PCI-Express Gen3
バッファロー SSD-PG1.0U3-B/NL,容量 1TB | USB | 2018-09-01発売
バッファロー SSD-PG480U3-B/NL,容量 480GB | USB | 2019-05-01発売
サムスン 980 PRO MZ-V8P1T0B/IT,容量 1TB | MLC | M.2 (Type2280) | PCI-Express Gen4 | 2020-10-01発売
Crucial BX500 CT240BX500SSD1JP,容量 240GB | 3D MLC | 2.5インチ | Serial ATA 6Gb/s | 2018-10-14発売
SanDisk エクストリーム SDSSDE60-2T00-J25,容量 2TB | USB | 2018-05-01発売
SanDisk ウルトラ 3D SSD SDSSDH3-500G-J25,容量 500GB | 2.5インチ | Serial ATA 6Gb/s | 2017-08-01発売
SanDisk エクストリーム SDSSDE60-1T00-J25,容量 1TB | USB | 2018-05-01発売
Western Digital WD Green WDS100T2G0A,容量 1TB | 2.5インチ | Serial ATA 6Gb/s
Biostar S120 S120-256GB,容量 256GB | 3D TLC | 2.5インチ | Serial ATA 6Gb/s | 2019-12-12発売
CFD PG4VNZ CSSD-M2M1TPG4VNZ,容量 1TB | 3D TLC | M.2 (Type2280) | PCI-Express Gen4 | 2020-10-01発売
ADATA XPG GAMMIX S50 Lite AGAMMIXS50L-2T-C,容量 2TB | 3D MLC | M.2 (Type2280) | PCI-Express Gen4
CFD PG3VND CSSD-M2B1TPG3VND,容量 1TB | TLC | M.2 (Type2280) | PCI-Express Gen4 | 2020-08-01発売
Western Digital WD Blue SN550 NVMe WDS200T2B0C,容量 2TB | 3D MLC | M.2 (Type2280) | PCI-Express Gen3 | 2020-11-20発売
Western Digital WD Black SN750 NVMe WDS100T3X0C,容量 1TB | 3D MLC | M.2 (Type2280) | PCI-Express Gen3 | 2019-01-23発売
SanDisk SDSSDE30-1T00-J25,容量 1TB | USB | 2020-12-01発売
Crucial BX500 CT480BX500SSD1JP,容量 480GB | 3D MLC | 2.5インチ | Serial ATA 6Gb/s | 2018-10-14発売
SanDisk SSD PLUS SDSSDA-240G-G26,容量 240GB | 2.5インチ | Serial ATA 6Gb/s
SanDisk ウルトラ 3D SSD SDSSDH3-4T00-J25,容量 4TB | 2.5インチ | Serial ATA 6Gb/s
サムスン 870 QVO MZ-77Q8T0B/IT,容量 8TB | MLC | 2.5インチ | Serial ATA 6Gb/s | 2020-08-01発売
ADATA XPG GAMMIX S50 Lite AGAMMIXS50L-1T-C,容量 1TB | 3D MLC | M.2 (Type2280) | PCI-Express Gen4
Apacer AS340 AP480GAS340G-1,容量 480GB | 3D TLC | 2.5インチ | Serial ATA 6Gb/s
トランセンド TS1TMTE220S,容量 1TB | 3D MLC | M.2 (Type2280) | PCI-Express Gen3
バッファロー SSD-PUT500U3-BKA,容量 500GB | USB | 2020-12-01発売
ロジテック LMD-MPB512,容量 512GB | M.2 (Type2280) | PCI-Express Gen3 | 2020-05-28発売
CFD PG3VNF CSSD-M2B1TPG3VNF,容量 1TB | 3D TLC | M.2 (Type2280) | PCI-Express Gen4 | 2019-07-01発売
Plextor M8VC Plus PX-256M8VC+,容量 256GB | 3D TLC | 2.5インチ | Serial ATA 6Gb/s | 2020-10-30発売
ロジテック LMD-MP512,容量 512GB | M.2 (Type2280) | PCI-Express Gen3 | 2019-09-17発売
AGI 960G17AI178,容量 960GB | 3D MLC | 2.5インチ | Serial ATA 6Gb/s
Crucial BX500 CT480BX500SSD1,容量 480GB | 3D MLC | 2.5インチ | Serial ATA 6Gb/s
Adtec AD-M2GS80-256G,容量 256GB | 3D TLC | M.2 (Type2280) | Serial ATA 6Gb/s | 2020-02-01発売
トランセンド 110S TS128GMTE110S,容量 128GB | 3D MLC | M.2 (Type2280) | PCI-Express Gen3
SanDisk SSD PLUS SDSSDA-1T00-J26,容量 1TB | 2.5インチ | Serial ATA 6Gb/s
Silicon Power Ace A55 SP512GBSS3A55S25,容量 512GB | 3D TLC | 2.5インチ | Serial ATA 6Gb/s
AGI 256G06AI138,容量 256GB | TLC | 2.5インチ | Serial ATA 6Gb/s
Western Digital WD Blue 3D NAND SATA WDS500G2B0B,容量 500GB | 3D MLC | M.2 (Type2280) | Serial ATA 6Gb/s | 2017-08-01発売
サムスン 970 EVO MZ-V7E500B/IT,容量 500GB | MLC | M.2 (Type2280) | PCI-Express Gen3 | 2018-05-01発売
Crucial P2 CT500P2SSD8JP,容量 500GB | 3D QLC | M.2 (Type2280) | PCI-Express Gen3 | 2020-04-26発売
Western Digital WD Red SA500 NAS SATA WDS400T1R0A,容量 4TB | 3D MLC | 2.5インチ | Serial ATA 6Gb/s | 2019-11-29発売
Plextor M8VC PX-256M8VC,容量 256GB | 3D TLC | 2.5インチ | Serial ATA 6Gb/s | 2019-04-26発売
SanDisk ウルトラ 3D SSD SDSSDH3-1T00-J25,容量 1TB | 2.5インチ | Serial ATA 6Gb/s | 2017-08-01発売
Apacer AS340 AP240GAS340G-1,容量 240GB | 3D TLC | 2.5インチ | Serial ATA 6Gb/s
Western Digital WD Red SA500 NAS SATA WDS100T1R0A,容量 1TB | 3D MLC | 2.5インチ | Serial ATA 6Gb/s | 2019-11-29発売
Plextor M9PG Plus PX-512M9PG +,容量 512GB | 3D TLC | M.2 (Type2280) | PCI-Express Gen3 | 2020-05-01発売
CFD PG3VNF CSSD-M2B5GPG3VNF,容量 500GB | 3D TLC | M.2 (Type2280) | PCI-Express Gen4 | 2019-08-01発売
トランセンド SSD220 TS120GSSD220S,容量 120GB | 3D TLC | 2.5インチ | Serial ATA 6Gb/s
SanDisk SSD PLUS SDSSDA-240G-J26,容量 240GB | TLC | 2.5インチ | Serial ATA 6Gb/s | 2016-06-01発売
ESSENCORE KLEVV CRAS C710 K256GM2SP0-C71,容量 256GB | 3D TLC | M.2 (Type2280) | PCI-Express Gen3
Corsair Force Series MP510 CSSD-F960GBMP510B,容量 960GB | 3D TLC | M.2 (Type2280) | PCI-Express Gen3 | 2020-03-19発売
AGI 512G17AI178,容量 512GB | 2.5インチ | Serial ATA 6Gb/s
旭東エレクトロニクス SE800-1TB,容量 1TB | 3D TLC | 2.5インチ | Serial ATA 6Gb/s
CFD PG4VNZ CSSD-M2M2TPG4VNZ,容量 2TB | 3D TLC | M.2 (Type2280) | PCI-Express Gen4 | 2020-10-01発売
Western Digital WD Black SN750 NVMe WDS500G3X0C,容量 500GB | 3D MLC | M.2 (Type2280) | PCI-Express Gen3 | 2019-01-23発売
ESSENCORE KLEVV NEO N400 K480GSSDS3-N40,容量 480GB | 2.5インチ | Serial ATA 6Gb/s
Western Digital WD Blue 3D NAND SATA WDS250G2B0A,容量 250GB | 3D TLC | 2.5インチ | Serial ATA 6Gb/s | 2017-08-01発売
Western Digital WD Black SN750 NVMe WDS200T3X0C,容量 2TB | 3D MLC | M.2 (Type2280) | PCI-Express Gen3 | 2019-02-01発売
ロジテック LMD-PBR960U3BK,容量 960GB | 2.5インチ | USB | 2019-09-19発売
ADATA Ultimate SU650 ASU650SS-120GT-R,容量 120GB | 3D MLC | 2.5インチ | Serial ATA 6Gb/s
Western Digital WD Blue 3D NAND SATA WDS200T2B0A,容量 2TB | 3D TLC | 2.5インチ | Serial ATA 6Gb/s | 2017-08-01発売
サムスン 980 PRO MZ-V8P500B/IT,容量 500GB | MLC | M.2 (Type2280) | PCI-Express Gen4 | 2020-10-01発売
トランセンド SSD220 TS240GSSD220S,容量 240GB | 3D TLC | 2.5インチ | Serial ATA 6Gb/s
ESSENCORE KLEVV NEO N400 K120GSSDS3-N40,容量 120GB | 2.5インチ | Serial ATA 6Gb/s
SanDisk エクストリーム SDSSDE60-500G-J25,容量 500GB | USB | 2018-05-01発売
SanDisk ウルトラ 3D SSD SDSSDH3-2T00-J25,容量 2TB | 2.5インチ | Serial ATA 6Gb/s | 2017-08-01発売
Seagate BarraCuda 120 SSD ZA500CM1A003,容量 500GB | 3D TLC | 2.5インチ | Serial ATA 6Gb/s
Crucial P2 CT1000P2SSD8JP,容量 1TB | 3D QLC | M.2 (Type2280) | PCI-Express Gen3 | 2020-10-01発売
Western Digital WD_Black SN850 NVMe WDS200T1X0E-00AFY0,容量 2TB | 3D MLC | M.2 (Type2280) | PCI-Express Gen4 | 2020-11-01発売
Western Digital WD Blue 3D NAND SATA WDS250G2B0B,容量 250GB | 3D MLC | M.2 (Type2280) | Serial ATA 6Gb/s | 2017-08-01発売
