Deepcool AS500 R-AS500-BKNLMN-G,サイドフロー型 | 140x140x25 mm | 70.8 CFM | 2020-10-30発売
Noctua NH-D15,サイドフロー型
サイズ 虎徹 MarkII SCKTT-2000,サイドフロー型 | 120x120x27 mm | 51.2 CFM | 2017-06-01発売
Corsair iCUE H150i RGB PRO XT CW-9060045-WW,水冷型 | 120x120x25 mm | 75.0 CFM | 2020-05-23発売
Deepcool GAMMAXX L240 V2 DP-H12RF-GL240V2,水冷型 | 120x120x25 mm | 69.3 CFM
Corsair iCUE H115i RGB PRO XT CW-9060044-WW,水冷型 | 140x140x25 mm | 97.0 CFM | 2020-02-15発売
サイズ 大手裏剣 参 SCBSK-3000,トップフロー型 | 120x120x17 mm | 50.8 CFM | 2019-01-24発売
サイズ 無限五 リビジョンB SCMG-5100,サイドフロー型 | 120x120x27 mm | 51.2 CFM | 2017-04-27発売
Noctua NH-U12A,サイドフロー型 | 120x120x25 mm
Deepcool GAMER STORM ASSASSIN III DP-GS-MCH7-ASN-3,サイドフロー型 | 140x140x25 mm | 90.4 CFM | 2019-09-13発売
MSI MAG CORELIQUID 360R,水冷型 | 120x120x25 mm | 78.7 CFM
Corsair iCUE H100i RGB PRO XT CW-9060043-WW,水冷型 | 120x120x25 mm | 75.0 CFM | 2020-02-15発売
Noctua NH-D15 chromax.black,サイドフロー型 | 140x150x25 mm | 2019-11-08発売
クーラーマスター MasterLiquid ML240L V2 RGB MLW-D24M-A18PC-R2,水冷型 | 120x120x25 mm | 62.0 CFM | 2020-07-22発売
サイズ 忍者 五 SCNJ-5000,サイドフロー型 | 120x120x27 mm | 43.0 CFM | 2018-07-05発売
サイズ 手裏剣 弐 SCSK-2000,トップフロー型 | 92x92x16 mm | 41.3 CFM | 2019-12-05発売
ID-COOLING SE-224-XT,サイドフロー型 | 120x120x25 mm | 76.2 CFM | 2020-05-27発売
ID-COOLING SE-914-XT,サイドフロー型 | 92x92x25 mm | 45.8 CFM | 2020-11-04発売
Noctua NH-L9a-AM4,トップフロー型
クーラーマスター Hyper H412R RR-H412-20PK-R2,サイドフロー型 | 92x92x25 mm | 34.1 CFM | 2018-07-13発売
ASUS ROG RYUJIN 360,水冷型 | 120x120x25 mm | 121.8 CFM
サイズ 風魔 弐 SCFM-2000,サイドフロー型 | 51.2 CFM | 2019-04-25発売
ProArtist DESSERTS3,サイドフロー型 | 120x120x25 mm | 80.0 CFM | 2020-12-03発売
NZXT KRAKEN X53 RL-KRX53-01,水冷型 | 120x120x26 mm | 2020-02-14発売
Thermaltake Contac Silent 12 CL-P039-AL12BL-A,サイドフロー型 | 120x120x25 mm | 74.3 CFM | 2017-03-01発売
Noctua NH-L9a-AM4 chromax.black,トップフロー型 | 92x92x14 mm | 2020-03-07発売
Thermaltake TH240 ARGB Sync CL-W286-PL12SW-A,水冷型 | 120x120x25 mm | 59.3 CFM | 2020-09-25発売
サイズ 白虎 弐 SCBYK-2000I,サイドフロー型 | 92x92x26 mm | 48.9 CFM | 2019-04-10発売
サイズ 超天 SCCT-1000,トップフロー型 | 120x120x25 mm | 51.2 CFM | 2018-03-15発売
Thermaltake TH240 ARGB Sync Snow Edition CL-W301-PL12SW-A,水冷型 | 120x120x25 mm | 59.3 CFM | 2020-11-27発売
NZXT KRAKEN X63 RL-KRX63-01,水冷型 | 140x140x26 mm | 2020-02-14発売
Thermalright Silver Arrow 130,サイドフロー型 | 120x130x25 mm | 85.0 CFM | 2019-06-21発売
ProArtist GRATIFY3,サイドフロー型 | 120x120x25 mm | 80.0 CFM | 2020-12-03発売
Enermax LIQMAX III ARGB ELC-LMT240-ARGB,水冷型 | 120x120x25 mm | 72.1 CFM | 2019-10-26発売
MSI MAG CORELIQUID 240R,水冷型 | 120x120x25 mm | 78.7 CFM | 2020-06-12発売
Fractal Design Celsius+ S28 Prisma FD-W-2-S2802,水冷型 | 103.9 CFM | 2020-04-17発売
NZXT KRAKEN Z63 RL-KRZ63-01,水冷型 | 140x140x26 mm | 2020-02-14発売
Lian Li Galahad AIO 360 RGB,水冷型 | 120x120x26 mm | 69.2 CFM | 2020-07-28発売
クーラーマスター MasterLiquid Lite 120 MLW-D12M-A20PW-R1,水冷型 | 120x120x25 mm | 66.7 CFM | 2017-09-01発売
Corsair H100i RGB PLATINUM SE CW-9060042-WW,水冷型 | 120x120x25 mm | 63.0 CFM | 2019-07-01発売
Corsair H60(2018) CW-9060036-WW,水冷型 | 120x120x25 mm | 57.2 CFM | 2018-04-27発売
Deepcool GAMER STORM Castle 240 RGB V2 DP-GS-H12AR-CSL240V2,水冷型 | 120x120x25 mm | 69.3 CFM
NZXT KRAKEN M22 RL-KRM22-01,水冷型 | 2018-03-01発売
NZXT KRAKEN Z73 RL-KRZ73-01,水冷型 | 120x120x26 mm | 2020-02-14発売
ID-COOLING IS-30,トップフロー型 | 92x92x12 mm | 40.0 CFM | 2019-06-05発売
Deepcool GAMER STORM CASTLE 360EX DP-GS-H12-CSL360EX,水冷型 | 120x120x25 mm | 64.4 CFM | 2020-06-05発売
Thermaltake Contac 9 CL-P049-AL09BL-A,サイドフロー型 | 92x92x25 mm | 40.0 CFM | 2018-07-13発売
Deepcool GAMMAXX GTE V2 DP-MCH4-GMX-GTEV2,サイドフロー型 | 120x120x25 mm | 64.5 CFM | 2020-04-24発売
サイズ 大手裏剣参 RGB SCBSK-3000R,トップフロー型 | 120x120x17 mm | 50.8 CFM | 2019-11-14発売
NZXT KRAKEN X73 RL-KRX73-01,水冷型 | 120x120x26 mm | 2020-02-14発売
In Win SR36 PRO IW-LC-SR36PRO,水冷型 | 120x120x26 mm | 101.5 CFM | 2020-12-18発売
クーラーマスター MasterLiquid ML240L V2 ARGB MLW-D24M-A18PA-R2,水冷型 | 120x120x25 mm | 62.0 CFM | 2020-07-22発売
Thermaltake UX100 ARGB CL-P064-AL12SW-A,トップフロー型 | 120x120x25 mm | 38.8 CFM | 2019-10-18発売
Silverstone SST-KR03,サイドフロー型 | 92x92x25 mm | 32.4 CFM | 2020-06-19発売
Noctua NH-L9i chromax.black,トップフロー型 | 92x92x25 mm | 2019-11-08発売
