東芝 MQ04ABD200,容量 2TB | 2.5インチ | 5400 rpm | Serial ATA600 | 2018-02-27発売,6179
Western Digital WD60EZAZ-RT,容量 6TB | 3.5インチ | 5400 rpm | Serial ATA600 | 2019-02-01発売,9667
東芝 MQ04ABF100,容量 1TB | 2.5インチ | 5400 rpm | Serial ATA600,4106
Seagate ST8000DM004,容量 8TB | 3.5インチ | 5400 rpm | Serial ATA600 | 2018-01-12発売,14077
Seagate ST9500620NS,容量 500GB | 2.5インチ | 7200 rpm | Serial ATA600,1738
Western Digital WD40EZRZ-RT2,容量 4TB | 3.5インチ | 5400 rpm | Serial ATA600,7949
東芝 DT02ABA400,容量 4TB | 3.5インチ | 5400 rpm | Serial ATA600,7204
Western Digital WD10SPZX,容量 1TB | 2.5インチ | 5400 rpm | Serial ATA600 | 2017-07-15発売,4890
Seagate ST2000LM015,容量 2TB | 2.5インチ | 5400 rpm | Serial ATA600 | 2016-10-01発売,7730
Western Digital WD40NPZZ,容量 4TB | 2.5インチ | 5400 rpm | Serial ATA600,15415
Western Digital WD80EFAX,容量 8TB | 3.5インチ | 5400 rpm | Serial ATA600 | 2018-06-01発売,18826
Western Digital WD80EFBX,容量 8TB | 3.5インチ | 7200 rpm | Serial ATA600,19799
Western Digital WD20SPZX,容量 2TB | 2.5インチ | 5400 rpm | Serial ATA600 | 2018-02-01発売,10109
Western Digital WD60EFAX-RT,容量 6TB | 3.5インチ | 5400 rpm | Serial ATA600 | 2019-03-01発売,15378
Western Digital WD20EFAX-RT,容量 2TB | 3.5インチ | 5400 rpm | Serial ATA600 | 2019-04-01発売,7238
東芝 MQ01ABD050V,容量 500GB | 2.5インチ | 5400 rpm | Serial ATA300,2970
東芝 MN08ACA14T/JP,容量 14TB | 3.5インチ | 7200 rpm | Serial ATA600,33799
東芝 MN08ACA16T/JP,容量 16TB | 3.5インチ | 7200 rpm | Serial ATA600,42799
東芝 MN06ACA800/JP,容量 8TB | 3.5インチ | 7200 rpm | Serial ATA600,17800
東芝 MQ01ABD100M,容量 1TB | 2.5インチ | 5400 rpm | Serial ATA300,4180
東芝 DT02ABA600,容量 6TB | 3.5インチ | 5400 rpm | Serial ATA600,10680
東芝 MQ01ABD100V,容量 1TB | 2.5インチ | 5400 rpm | Serial ATA300,4180
Seagate ST4000DM004,容量 4TB | 3.5インチ | 5400 rpm | Serial ATA600 | 2017-07-14発売,7810
東芝 MN05ACA800/JP,容量 8TB | 3.5インチ | 7200 rpm | Serial ATA600,17499
Western Digital WD101EFBX,容量 10TB | 3.5インチ | 7200 rpm | Serial ATA600,26792
Western Digital WD10SPSX,容量 1TB | 2.5インチ | 7200 rpm | Serial ATA600,7714
Seagate ST6000DM003,容量 6TB | 3.5インチ | 5400 rpm | Serial ATA600 | 2018-01-12発売,10317
Western Digital WD40EFAX-RT,容量 4TB | 3.5インチ | 5400 rpm | Serial ATA600 | 2020-02-14発売,12958
HGST HCC545050A7E380,容量 500GB | 2.5インチ | 5400 rpm | Serial ATA300,3480
Seagate ST1000LM048,容量 1TB | 2.5インチ | 5400 rpm | Serial ATA600 | 2016-10-01発売,4993
東芝 MN04ACA400/JP,容量 4TB | 3.5インチ | 7200 rpm | Serial ATA600,10799
Western Digital WD120EFAX,容量 12TB | 3.5インチ | 5400 rpm | Serial ATA600 | 2019-06-14発売,31107
Western Digital WD40EFZX,容量 4TB | 3.5インチ | 5400 rpm | Serial ATA600,13679
Seagate ST8000VN004,容量 8TB | 3.5インチ | 7200 rpm | Serial ATA600,19976
