Antec NeoECO Gold NE750G,750 W | ATX | 80PLUS Gold | プラグイン対応 | 2017-12-23発売,9878
玄人志向 KRPW-BK650W/85+,650 W | ATX/EPS | 80PLUS Bronze | プラグイン対応 | 2018-01-01発売,6083
Thermaltake Toughpower Grand RGB 850W Gold PS-TPG-0850FPCGJP-R,850 W | ATX/EPS | 80PLUS Gold | プラグイン対応 | 2017-04-07発売,11528
Thermaltake Toughpower Grand RGB 1050W Platinum PS-TPG-1050F1FAPJ-1,1050 W | ATX/EPS | 80PLUS Platinum | プラグイン対応 | 2018-04-13発売,16636
玄人志向 KRPW-BK750W/85+,750 W | ATX/EPS | 80PLUS Bronze | プラグイン対応 | 2018-01-01発売,6547
Corsair RM850 CP-9020196-JP,850 W | ATX/EPS | 80PLUS Gold | プラグイン対応 | 2019-06-22発売,13177
Thermaltake Toughpower Grand RGB 1200W Platinum PS-TPG-1200F1FAPJ-1,1200 W | ATX/EPS | 80PLUS Platinum | プラグイン対応 | 2018-07-13発売,20180
FSP Hydro GSM Lite PRO 750W HGS-750M,750 W | ATX/EPS | 80PLUS Gold | プラグイン対応 | 2020-11-06発売,9230
Super Flower LEADEX PLATINUM SE 1000W-WT,1000 W | ATX/BTX/EPS | 80PLUS Platinum | プラグイン対応 | 2020-05-26発売,20089
玄人志向 KRPW-BR650W/85+,650 W | ATX/EPS | 80PLUS Bronze | 2020-07-01発売,5782
玄人志向 KRPW-GK750W/90+,750 W | ATX/EPS | 80PLUS Gold | プラグイン対応 | 2017-11-01発売,9480
Antec HCG1000 EXTREME,1000 W | ATX | 80PLUS Gold | プラグイン対応 | 2018-06-01発売,20350
Corsair CX650M CP-9020103-JP,650 W | ATX/EPS | 80PLUS Bronze | プラグイン対応 | 2016-04-02発売,6473
FSP Hydro GSM Lite PRO 650W HGS-650M,650 W | ATX/EPS | 80PLUS Gold | プラグイン対応 | 2020-11-06発売,8645
FSP HEXA 85+ 550W HA550,550 W | ATX/EPS | 80PLUS Bronze | 2020-11-21発売,4480
玄人志向 KRPW-BK450W/85+,450 W | ATX/EPS | 80PLUS Bronze | プラグイン対応 | 2018-01-01発売,5035
クーラーマスター V SFX Gold 850W MPY-8501-SFHAGV-JP,850 W | SFX | 80PLUS Gold | プラグイン対応 | 2020-11-20発売,17007
ASUS ROG-STRIX-1000W-GOLD,1000 W | ATX | 80PLUS Gold | プラグイン対応 | 2020-09-25発売,21745
Silverstone SST-ST30SF V2,300 W | SFX/ATX | 80PLUS Bronze | 2016-08-19発売,5280
Super Flower LEADEX Titanium 1000W SF-1000F14HT,1000 W | ATX/BTX/EPS | 80PLUS Titanium | プラグイン対応 | 2021-01-26発売,40976
Corsair SF750 Platinum CP-9020186-JP,750 W | SFX/ATX/EPS | 80PLUS Platinum | プラグイン対応 | 2019-02-09発売,19306
Corsair AX1600i CP-9020087-JP,1600 W | ATX/EPS | 80PLUS Titanium | プラグイン対応 | 2018-04-28発売,60682
Super Flower LEADEX PLATINUM SE 1000W-BK,1000 W | ATX/BTX/EPS | 80PLUS Platinum | プラグイン対応 | 2020-05-26発売,21148
玄人志向 KRPW-BR550W/85+,550 W | ATX/EPS | 80PLUS Bronze | 2020-07-01発売,5036
Corsair RM850x CP-9020180-JP,850 W | ATX/EPS | 80PLUS Gold | プラグイン対応 | 2018-05-26発売,14714
FSP Hydro PTM PRO 850W HPT2-850M,850 W | ATX | 80PLUS Platinum | プラグイン対応 | 2020-11-06発売,17480
FSP Hydro S 750W HS-750,750 W | ATX/EPS | 80PLUS Silver | 2020-11-06発売,7228
Antec NeoECO Gold NE550G,550 W | ATX | 80PLUS Gold | プラグイン対応 | 2017-12-23発売,8201
クーラーマスター V1300 PLATINUM MPZ-D001-AFBAPV-JP,1300 W | ATX | 80PLUS Platinum | プラグイン対応 | 2019-12-13発売,31509
Zalman WATTTERA 1200W ZM1200-EBTII,1200 W | ATX | 80PLUS Gold | プラグイン対応 | 2021-02-19発売,20900
FSP Hydro GSM Lite PRO 550W HGS-550M,550 W | ATX/EPS | 80PLUS Gold | プラグイン対応 | 2020-11-06発売,7765
玄人志向 KRPW-BK550W/85+,550 W | ATX/EPS | 80PLUS Bronze | プラグイン対応 | 2018-01-01発売,5940
Fractal Design ION+ 860P FD-PSU-IONP-860P-BK,860 W | ATX/EPS | 80PLUS Platinum | プラグイン対応 | 2019-08-09発売,20000
Super Flower LEADEX III GOLD ARGB 850W,850 W | ATX/BTX/EPS | 80PLUS Gold | プラグイン対応 | 2019-09-14発売,16477
玄人志向 KRPW-GR1000W/90+,1000 W | ATX | 80PLUS Gold | プラグイン対応 | 2020-12-01発売,18480
Seasonic FOCUS-GX-650,650 W | ATX | 80PLUS Gold | プラグイン対応,14318
Thermaltake TOUGHPOWER GX1 RGB GOLD 500W PS-TPD-0500NHFAGJ-1,500 W | ATX/EPS | 80PLUS Gold | 2018-12-21発売,6578
Seasonic PRIME-PX-1000,1000 W | ATX | 80PLUS Platinum | プラグイン対応 | 2020-06-11発売,43300
Thermaltake SMART 600W STANDARD PS-SPD-0600NPCWJP-W,600 W | ATX | 80PLUS Standard | 2016-05-04発売,5386
Corsair CX550M CP-9020102-JP,550 W | ATX/EPS | 80PLUS Bronze | プラグイン対応 | 2016-04-02発売,6182
Super Flower LEADEX III GOLD 750W,750 W | ATX/BTX/EPS | 80PLUS Gold | プラグイン対応 | 2019-09-14発売,12773
ASUS ROG-STRIX-850W-GOLD,850 W | ATX | 80PLUS Gold | プラグイン対応 | 2020-08-07発売,16810
Antec HCG850 GOLD,850 W | ATX | 80PLUS Gold | プラグイン対応 | 2018-06-09発売,15171
Super Flower LEADEX III GOLD 850W,850 W | ATX/BTX/EPS | 80PLUS Gold | プラグイン対応 | 2019-09-14発売,14827
FSP Hydro G PRO 1000W HG2-1000,1000 W | ATX | 80PLUS Gold | プラグイン対応 | 2020-12-11発売,17980
Thermaltake SMART 500W STANDARD PS-SPD-0500NPCWJP-W,500 W | ATX | 80PLUS Standard | 2016-05-04発売,4708
クーラーマスター V SFX Gold 750W MPY-7501-SFHAGV-JP,750 W | SFX | 80PLUS Gold | プラグイン対応 | 2020-11-20発売,15382
Corsair SF600 Platinum CP-9020182-JP,600 W | SFX/ATX/EPS | 80PLUS Platinum | プラグイン対応 | 2018-11-03発売,15980
クーラーマスター V850 Gold MPY-8501-AFAAGV-JP,850 W | ATX | 80PLUS Gold | プラグイン対応 | 2019-06-07発売,14278
Silverstone SST-ST1500-TI,1500 W | ATX | 80PLUS Titanium | プラグイン対応 | 2017-08-18発売,48800
Fractal Design ION+ 760P FD-PSU-IONP-760P-BK,760 W | ATX/EPS | 80PLUS Platinum | プラグイン対応 | 2019-08-09発売,17655
Super Flower LEADEX III GOLD ARGB 750W,750 W | ATX/BTX/EPS | 80PLUS Gold | プラグイン対応 | 2019-09-14発売,13527
