Crucial MX500 CT1000MX500SSD1/JP,容量 1TB | 3D TLC | 2.5インチ | Serial ATA 6Gb/s | 2018-01-01発売,10428
Crucial MX500 CT500MX500SSD1/JP,容量 500GB | 3D TLC | 2.5インチ | Serial ATA 6Gb/s | 2018-01-01発売,6480
Western Digital WD Blue SN550 NVMe WDS100T2B0C,容量 1TB | 3D MLC | M.2 (Type2280) | PCI-Express Gen3,12057
サムスン 870 EVO MZ-77E1T0B/IT,容量 1TB | MLC | 2.5インチ | Serial ATA 6Gb/s | 2021-01-01発売,10752
ADATA XPG SX8100 ASX8100NP-512GT-C,容量 512GB | 3D TLC | M.2 (Type2280) | PCI-Express Gen3,6980
Western Digital WD Blue 3D NAND SATA WDS500G2B0A,容量 500GB | 3D TLC | 2.5インチ | Serial ATA 6Gb/s | 2017-08-01発売,6578
Crucial BX500 CT240BX500SSD1,容量 240GB | 3D MLC | 2.5インチ | Serial ATA 6Gb/s,3680
サムスン 860 EVO MZ-76E1T0B/IT,容量 1TB | MLC | 2.5インチ | Serial ATA 6Gb/s | 2018-02-01発売,10279
SanDisk SSD PLUS SDSSDA-2T00-J26,容量 2TB | 2.5インチ | Serial ATA 6Gb/s | 2020-03-09発売,19800
Crucial P5 CT500P5SSD8JP,容量 500GB | 3D MLC | M.2 (Type2280) | PCI-Express Gen3 | 2020-06-30発売,7672
Biostar M700 M700-1TB,容量 1TB | TLC | M.2 (Type2280) | PCI-Express Gen3 | 2020-01-31発売,11602
HP S700 2DP99AA#UUF,容量 500GB | 3D TLC | 2.5インチ | Serial ATA 6Gb/s | 2018-10-15発売,5808
Apacer AS340 AP120GAS340G-1,容量 120GB | 3D TLC | 2.5インチ | Serial ATA 6Gb/s,2090
ADATA XPG SX8100 ASX8100NP-2TT-C,容量 2TB | 3D TLC | M.2 (Type2280) | PCI-Express Gen3,23980
サムスン 860 EVO MZ-76E500B/IT,容量 500GB | MLC | 2.5インチ | Serial ATA 6Gb/s | 2018-02-01発売,6480
Western Digital WD Blue SN550 NVMe WDS500G2B0C,容量 500GB | 3D MLC | M.2 (Type2280) | PCI-Express Gen3,7810
SanDisk エクストリーム SDSSDE60-2T00-J25,容量 2TB | USB | 2018-05-01発売,26880
Western Digital WD Blue 3D NAND SATA WDS100T2B0A,容量 1TB | 3D TLC | 2.5インチ | Serial ATA 6Gb/s | 2017-08-01発売,11268
ADATA XPG SX6000 Lite ASX6000LNP-512GT-C,容量 512GB | 3D MLC | M.2 (Type2280) | PCI-Express Gen3 | 2019-02-06発売,5980
バッファロー SSD-PG1.0U3-B/NL,容量 1TB | USB | 2018-09-01発売,10177
SanDisk エクストリーム SDSSDE60-1T00-J25,容量 1TB | USB | 2018-05-01発売,15422
CFD PG3VND CSSD-M2B1TPG3VND,容量 1TB | TLC | M.2 (Type2280) | PCI-Express Gen4 | 2020-08-01発売,16478
AGI 960G17AI178,容量 960GB | 3D MLC | 2.5インチ | Serial ATA 6Gb/s,8980
Crucial BX500 CT480BX500SSD1JP,容量 480GB | 3D MLC | 2.5インチ | Serial ATA 6Gb/s | 2018-10-14発売,6132
SanDisk ウルトラ 3D SSD SDSSDH3-500G-J25,容量 500GB | 2.5インチ | Serial ATA 6Gb/s | 2017-08-01発売,6820
